x3,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x23,x24,x25,x26,x27,x28,x29,x30,y
1,4,5,3,5,4,5,5,5,4,4,5,4,1,4,5,4,5,4,4,4,4,4,2,4,4,22
1,6,3,3,3,2,3,5,4,4,5,4,3,1,6,4,6,4,4,4,3,4,4,4,3,4,11
3,4,6,4,6,6,3,5,6,4,5,6,6,1,6,1,3,4,3,3,4,4,4,4,4,4,21
4,6,6,6,6,6,6,1,3,6,1,6,6,1,6,1,1,3,4,4,5,4,4,5,3,4,22
7,4,4,5,3,1,5,5,3,4,6,4,4,3,2,3,4,3,3,3,3,3,3,3,3,3,22
2,6,6,6,6,6,6,5,6,4,5,6,6,1,5,3,4,6,4,4,5,3,4,4,4,4,22
4,6,5,3,3,4,3,3,4,3,5,5,3,1,4,2,5,3,3,3,3,3,3,4,4,3,11
3,6,5,5,4,1,6,3,6,6,5,6,6,1,6,2,3,6,4,4,4,4,5,5,5,5,21
4,6,4,3,5,5,4,4,4,5,4,4,4,1,3,3,4,3,3,3,4,3,4,4,2,4,32
1,4,4,4,6,6,5,2,6,5,5,6,6,2,6,2,1,4,3,3,4,4,3,3,4,4,11
3,4,5,3,4,2,4,4,2,2,1,4,3,1,4,3,4,2,2,1,2,2,2,2,3,2,22
3,4,5,4,5,5,6,4,6,5,6,5,5,1,5,1,5,6,4,4,4,5,5,4,5,4,33
5,6,6,6,5,6,6,4,6,6,6,6,3,1,6,6,6,6,5,5,5,5,5,5,5,5,22
3,5,5,3,3,2,4,3,1,3,4,4,3,3,3,1,3,1,3,3,3,2,3,2,3,2,11
3,4,5,3,3,4,5,1,6,3,1,4,5,2,5,3,4,5,3,2,1,3,4,5,3,3,11
1,6,6,6,4,6,6,2,5,5,3,6,3,2,6,1,2,5,4,5,5,4,5,5,4,5,22
2,5,6,4,3,6,4,5,6,2,3,4,6,1,6,6,5,1,4,4,5,5,4,3,4,4,11
4,6,6,6,6,6,6,6,6,4,6,5,6,1,6,3,5,6,4,4,5,4,4,5,3,4,22
3,5,5,4,4,4,6,4,5,4,4,3,3,2,5,1,3,5,3,5,4,5,4,4,4,4,11
1,4,3,4,4,4,3,3,2,3,4,5,4,3,4,5,4,4,4,3,3,4,4,4,4,4,22
3,4,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,22
3,4,5,6,4,5,6,5,5,4,4,6,6,4,5,3,2,6,5,4,4,3,4,4,5,5,22
2,4,4,4,5,4,5,4,5,4,6,4,4,4,5,5,4,4,3,5,5,4,5,4,5,3,22
2,6,6,6,6,6,6,6,6,3,3,5,6,5,6,1,5,6,5,5,5,4,5,5,4,5,22
5,5,5,6,6,5,6,4,5,5,5,5,5,1,5,5,5,6,4,4,4,4,4,4,4,4,22
1,5,4,2,3,5,5,4,4,4,2,5,5,4,4,1,3,5,3,2,2,3,3,3,4,3,11
5,5,6,5,5,6,6,5,6,4,4,6,6,1,6,4,6,3,4,5,5,4,5,5,4,5,32
3,5,6,5,5,4,5,4,4,4,3,5,4,5,5,2,6,3,5,4,5,4,4,4,4,5,22
2,4,5,5,5,6,6,5,6,5,6,6,6,6,6,6,4,6,4,5,4,4,4,4,4,4,11
1,3,4,4,3,4,5,4,4,3,2,5,5,4,4,2,4,3,3,4,2,3,3,4,4,4,11
4,5,5,4,4,5,5,3,5,5,1,6,6,2,2,1,2,5,3,3,3,3,4,3,3,4,12
4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,22
2,3,4,3,5,6,3,3,6,3,5,4,6,1,5,1,4,3,3,4,4,3,3,5,3,3,11
2,5,6,6,6,6,6,5,6,5,4,6,6,6,6,5,4,6,5,5,5,5,5,5,5,5,22
2,5,5,4,6,5,5,5,3,2,4,5,5,5,5,1,5,4,3,3,3,3,3,3,3,3,11
3,6,5,5,5,4,5,5,6,3,4,4,6,4,6,2,5,3,4,4,5,4,4,4,4,4,33
1,4,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,2,11
2,5,6,6,4,6,6,3,6,2,4,4,4,5,5,3,5,5,4,4,5,5,4,5,4,5,11
4,6,6,5,6,5,6,5,5,5,5,5,5,5,5,5,6,5,4,4,4,4,5,4,4,4,22
3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,22
4,6,5,6,6,6,6,6,5,4,3,5,4,6,5,4,4,6,4,3,4,3,4,5,4,5,22
4,4,4,5,3,4,5,3,5,2,3,3,3,4,4,2,4,4,4,3,4,4,4,4,4,4,13
3,6,4,6,6,6,4,4,6,2,6,6,6,6,6,1,1,6,2,5,4,4,4,4,4,4,11
1,6,5,6,5,6,6,5,6,6,3,5,5,6,5,5,5,6,5,4,4,5,4,3,4,4,11
1,5,4,5,5,6,6,5,6,6,4,6,6,6,6,3,3,6,5,4,4,4,5,5,5,4,22
2,6,5,4,5,6,6,5,6,4,4,5,5,5,5,6,3,6,4,4,5,4,4,5,4,4,11
5,6,5,4,6,6,6,5,6,3,5,6,6,4,6,6,5,6,4,5,4,4,5,4,4,4,22
2,3,5,6,6,5,6,4,5,4,4,6,4,2,6,5,6,5,4,5,5,5,4,5,5,5,22
3,4,5,5,4,4,4,3,5,3,5,5,5,3,5,2,4,4,2,4,3,4,3,4,3,4,22
3,6,5,3,6,6,6,1,6,3,1,6,6,2,3,6,4,6,4,5,4,4,4,5,4,4,22
4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,11
5,4,3,5,5,4,3,4,5,4,4,3,4,5,5,5,5,5,4,4,2,2,2,4,2,2,12
1,4,5,4,4,5,5,4,4,5,5,3,5,4,4,4,4,3,3,3,3,3,4,4,3,4,11
4,4,5,6,6,5,5,6,4,3,5,6,5,5,5,3,3,3,3,3,3,3,4,3,4,3,22
2,5,5,4,4,6,6,3,6,4,3,6,6,4,5,5,5,6,4,5,4,4,4,5,4,5,23
2,6,5,4,6,6,6,3,6,6,1,5,6,6,6,3,6,6,5,5,5,5,5,5,5,5,11
2,5,5,4,5,5,6,4,3,3,4,5,4,5,5,2,3,5,3,3,4,3,4,4,4,4,11
5,5,6,4,6,6,6,6,3,4,6,6,6,6,6,6,5,3,5,5,5,4,4,5,5,5,23
6,6,5,6,5,5,6,6,5,3,1,3,5,3,5,1,5,4,5,5,4,5,4,5,4,4,32
2,3,4,5,6,6,3,5,3,4,5,6,6,5,6,1,6,3,5,5,5,4,5,5,5,5,12
4,5,5,4,4,4,5,5,4,4,5,5,3,2,4,2,3,6,4,4,4,4,4,5,4,4,11
4,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,22
3,4,5,5,3,6,3,3,4,4,2,5,4,2,5,2,4,5,4,5,5,4,4,4,4,5,22
3,5,5,5,5,5,5,5,4,3,5,5,2,3,4,1,4,2,3,3,3,3,2,2,2,2,11
5,6,5,5,5,5,5,6,5,4,6,6,4,5,5,3,6,5,4,5,5,5,4,5,5,4,22
3,6,3,6,4,3,4,6,3,3,1,3,4,3,4,1,3,2,1,3,1,1,1,3,3,3,11
4,5,6,5,5,5,6,4,6,4,6,5,5,6,5,1,5,5,3,4,4,4,4,5,5,5,22
4,5,5,5,6,4,4,4,4,5,4,5,4,5,5,6,4,5,4,5,4,5,5,4,5,4,22
1,5,5,2,4,4,4,3,4,3,2,3,6,3,3,6,4,1,1,4,4,4,3,4,3,4,33
3,5,4,4,4,5,6,5,5,4,4,4,5,3,4,3,5,4,3,2,3,3,2,2,3,2,22
6,5,6,6,6,6,6,6,6,6,4,6,3,6,6,4,5,6,5,5,5,5,5,5,5,5,33
3,6,6,6,6,6,6,6,6,5,3,6,6,6,6,3,6,6,5,5,5,5,5,5,4,5,22
4,3,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,3,3,2,2,1,1,3,2,2,32
4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5,5,5,5,5,5,22
4,3,6,6,3,5,4,5,3,3,2,2,3,2,1,3,1,2,4,4,4,2,3,4,4,4,22
4,6,6,6,5,5,6,4,6,2,1,4,6,4,5,1,4,3,5,5,5,4,4,4,4,5,32
3,6,6,6,6,6,6,5,6,5,6,6,6,5,6,1,5,6,5,5,5,5,5,5,5,5,12
4,4,5,3,4,5,6,6,3,3,6,5,4,4,5,6,5,4,4,5,4,3,5,5,4,3,22
5,5,6,6,5,6,6,4,5,5,5,6,6,6,5,1,5,5,5,4,5,5,5,5,5,5,11
2,3,3,3,4,4,4,4,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,11
2,5,5,3,5,3,4,5,6,5,5,6,2,1,5,1,3,6,3,3,3,3,3,4,3,3,11
4,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,5,5,5,5,5,5,5,5,32
6,4,4,3,4,4,6,2,1,4,1,4,4,2,4,1,4,4,3,3,3,4,4,3,4,3,11
3,4,4,5,4,4,4,4,5,4,4,4,5,4,4,5,4,4,3,3,3,3,3,3,3,4,22
4,4,5,4,3,5,6,3,5,4,3,6,5,6,5,1,6,3,4,4,4,4,4,4,4,4,33
2,5,3,6,2,6,5,5,5,2,3,5,1,1,3,1,2,5,3,5,4,5,4,5,4,5,32
2,5,3,3,3,5,6,6,6,3,3,6,6,2,4,3,3,6,3,3,3,3,2,4,4,4,11
3,5,5,6,5,5,6,6,5,4,5,6,6,5,5,2,5,5,4,5,4,4,4,4,5,5,11
2,6,5,6,6,5,6,3,5,1,3,6,6,3,6,4,4,4,5,5,5,5,5,5,4,5,22
3,5,5,5,4,6,5,3,5,4,3,6,6,6,4,1,4,6,4,4,4,3,5,5,5,4,22
4,5,6,5,5,6,6,5,6,4,6,6,6,6,5,1,5,4,3,4,4,4,4,4,4,4,33
4,4,3,5,3,4,4,3,4,4,3,4,3,5,4,5,3,4,3,3,2,4,3,3,4,4,22
4,6,6,6,6,6,6,6,6,6,5,6,6,6,6,1,6,3,4,4,4,3,3,4,2,4,32
4,5,6,5,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,4,5,4,5,4,22
2,4,4,5,6,6,3,2,6,3,3,4,6,6,6,5,4,6,3,5,4,4,4,4,5,5,33
3,5,5,4,5,6,5,6,6,6,4,6,6,6,6,1,3,6,3,3,2,3,2,3,4,3,22
3,4,4,5,3,5,6,4,4,3,2,4,3,4,4,4,3,3,3,2,3,3,4,4,4,4,12
3,3,3,4,5,4,4,5,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,4,3,3,22
2,5,6,6,6,4,6,5,4,6,6,6,4,6,6,5,5,5,5,5,5,5,5,5,4,5,11
3,4,6,5,6,6,5,4,6,6,5,6,5,6,4,6,5,6,5,4,4,5,4,5,5,4,21
4,5,5,6,6,6,6,3,3,3,4,6,6,4,6,5,6,4,3,5,5,4,5,5,5,4,33
5,6,6,5,6,5,6,6,4,4,4,6,4,6,6,1,6,4,3,5,5,3,4,4,4,4,11
2,5,5,3,5,6,5,2,6,6,2,6,6,4,5,1,3,6,2,4,4,4,4,3,3,4,11
2,6,6,6,4,6,6,3,6,6,4,6,6,6,6,1,6,6,3,3,3,3,3,4,3,4,11
2,4,4,4,5,5,5,5,5,5,4,5,5,4,5,4,4,5,4,3,5,4,4,4,4,4,12
3,5,5,5,5,6,5,5,5,5,4,5,6,4,4,4,3,6,4,4,4,5,4,4,3,3,11
4,6,6,6,5,6,6,5,5,6,4,6,6,5,6,1,6,5,4,5,5,4,4,5,4,4,21
2,4,5,5,5,5,4,3,4,4,4,6,4,5,5,6,4,4,4,4,4,3,4,3,3,3,21
1,6,6,6,6,6,6,5,6,6,6,5,6,5,4,5,5,6,4,5,5,5,5,5,5,5,22
3,6,1,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,4,5,5,4,5,5,3,5,11
4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,5,5,5,5,4,5,5,22
1,6,6,5,5,6,6,6,6,4,4,5,6,5,6,6,6,5,4,4,4,4,5,5,5,4,33
3,5,5,4,5,4,5,3,5,4,1,5,5,3,4,3,3,5,3,3,3,3,3,3,3,3,11
5,5,6,5,5,5,6,6,6,4,3,5,6,5,6,2,3,6,4,4,4,4,4,4,4,4,22
1,6,5,3,6,6,6,4,6,6,4,5,6,4,6,4,3,6,3,3,3,3,3,3,2,3,11
2,6,6,6,6,6,6,5,6,4,5,6,6,6,6,4,6,6,5,5,5,5,5,5,5,5,11
4,5,5,5,5,5,5,4,5,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,22
3,4,4,5,4,3,5,4,5,2,3,4,5,5,5,5,4,6,5,5,5,5,5,4,5,5,22
5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,11
3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,11
4,6,5,6,6,6,6,4,6,4,3,6,6,4,6,3,3,6,5,5,5,5,5,5,5,5,22
4,5,4,6,5,5,5,5,6,5,5,6,5,6,5,5,4,5,4,5,4,5,4,5,4,4,22
3,4,4,5,6,6,6,1,3,1,1,6,4,4,6,1,6,4,4,3,3,3,3,3,3,4,11
4,6,5,4,4,6,6,6,6,6,6,6,4,4,4,4,4,4,3,3,3,3,3,4,3,4,12
2,6,6,6,6,6,6,6,6,4,6,6,6,6,6,1,6,1,1,3,4,4,4,5,5,4,12
